rule_lhs	rule_rhs	lhs	rhs	judgment	confidence
be more fond of	happen to enjoy	The Mongols be more fond of paper money	The Mongols happen to enjoy paper money	Yes	1
offer a comprehensive range of	offer an extensive range of	The Business Center offer a comprehensive range of services	The Business Center offer an extensive range of services	Yes	1
be decorated with	be equipped with	All rooms be decorated with private furnished balconies	All rooms be equipped with private furnished balconies	Yes	1
be considered to be one of	boast one of	Golf be considered to be one of the most popular sports	Golf boast one of the most popular sports	Yes	1
start to turn	begin turn	the trees start to turn a little bit	the trees begin turn a little bit	Yes	1
be important to	benefit	prescription medication be important to many people	prescription medication benefit many people	Yes	1
be available at	be obtained at	This book be available at Amazon.com	This book be obtained at Amazon.com	Yes	1
be optimal for	be favorable for	a newspaper be optimal for advertising	a newspaper be favorable for advertising	Yes	1
hurt	affect	Neutering hurt my pet	Neutering affect my pet	Yes	1
go on	set out on	Models go on auditions	Models set out on auditions	Yes	1
be a lot of	be load of	Their reception be a lot of fun	Their reception be load of fun	Yes	1
rely on	be driven by	The system rely on computers	The system be driven by computers	Yes	1
agree to use	agree to keep	Our vendors agree to use this information	Our vendors agree to keep this information	Yes	1
make of	be built with	the cross make of cloth	the cross be built with cloth	Yes	1
increase	enhance	chemotherapy and radiation increase survival	chemotherapy and radiation enhance survival	Yes	1
serve as	assume the role of	O'Neal serve as a reserve officer	O'Neal assume the role of a reserve officer	Yes	1
turn into	end up be	Saturday night turn into Sunday morning	Saturday night end up be Sunday morning	Yes	1
surrender	forfeit	McCain surrender his maverick status	McCain forfeit his maverick status	Yes	1
verify	confirm	my professor verify my attendance	my professor confirm my attendance	Yes	1
document	recount	This procedure document the steps	This procedure recount the steps	Yes	1
seize control of	gain control of	The military junta seize control of Thailand	The military junta gain control of Thailand	Yes	1
charge	require payment of	Most cards charge a fee	Most cards require payment of a fee	Yes	1
aspire to	aspire for	teenagers aspire to virginity	teenagers aspire for virginity	Yes	1
be popular on	be easy to find on	Backpacks be popular on the tour	Backpacks be easy to find on the tour	Yes	1
make prediction about	draw conclusion about	Users make prediction about the future	Users draw conclusion about the future	Yes	1
be displayed throughout	be hung in	Posters be displayed throughout the workshop	Posters be hung in the workshop	Yes	1
end in	stop in	This process end in Oregon	This process stop in Oregon	Yes	1
be right for	be the right one for	the patient be right for implants	the patient be the right one for implants	Yes	1
log into	be logged on to	players log into the MUD	players be logged on to the MUD	Yes	1
be similar for	be consistent across	the user interface be similar for the programs	the user interface be consistent across the programs	Yes	1
take bus to	plan to visit	the team take bus to New Jersey	the team plan to visit New Jersey	Yes	1
store	log	The cookies store personal information	The cookies log personal information	Yes	1
take care of	look after	Parents take care of their personal needs	Parents look after their personal needs	Yes	1
exist in	lie in	the resort exist in Orlando	the resort lie in Orlando	Yes	1
be supported by	receive support from	The study be supported by the American Society	The study receive support from the American Society	Yes	1
be entered into	be put into	Arizona be entered into the United States	Arizona be put into the United States	Yes	1
see the effect on	see the result in	Tudor see the effect on Joan	Tudor see the result in Joan	Yes	1
be amongst	remain among	Blackjack be amongst the most popular	Blackjack remain among the most popular	Yes	1
remain	stay about	width remain the same	width stay about the same	Yes	1
favor	support	an economic policy favor the rich	an economic policy support the rich	Yes	1
sport	be the one with	The team sport a 9-8 record	The team be the one with a 9-8 record	Yes	1
describe	present an overview of	This list describe all possible interactions	This list present an overview of all possible interactions	Yes	1
go into	enter into	Dreamer go into the corner	Dreamer enter into the corner	Yes	1
sit down by	sit around	Gabrielle sit down by the fire pit	Gabrielle sit around the fire pit	Yes	1
build	begin to build	a settler build his cabin	a settler begin to build his cabin	Yes	1
sell	sell off	investors sell their holdings	investors sell off their holdings	Yes	1
be available through	be sold through	the shoe be available through the website	the shoe be sold through the website	Yes	1
be a lot of	be plenty of	Their reception be a lot of fun	Their reception be plenty of fun	Yes	1
need to upgrade	need to improve	Bose need to upgrade this product	Bose need to improve this product	Yes	1
have a proven record of	show evidence of	Hypnosis have a proven record of success	Hypnosis show evidence of success	Yes	1
be the capital of	be a city in	Hanoi be the capital of Vietnam	Hanoi be a city in Vietnam	Yes	1
be given to	be issued to	The books be given to children	The books be issued to children	Yes	1
be compounded by	be exacerbated by	The problem be compounded by rains	The problem be exacerbated by rains	Yes	1
team with	join with	Palmer team with Jack Nicklaus	Palmer join with Jack Nicklaus	Yes	1
cooperate with	collaborate with	The parties cooperate with JAMS	The parties collaborate with JAMS	Yes	1
talk of	speak about	Jews talk of Nazis	Jews speak about Nazis	Yes	1
be proud of	appreciate	Greenwich be proud of its maritime history	Greenwich appreciate its maritime history	Yes	1
appear in	be seen in	The Scarecrow appear in Batman	The Scarecrow be seen in Batman	Yes	1
be returned to	be submitted to	The form be returned to the Business Office	The form be submitted to the Business Office	Yes	1
be available at	be ordered at	No tickets be available at the door	No tickets be ordered at the door	Yes	1
be the main part of	be the staple of	those witnesses be the main part of the case	those witnesses be the staple of the case	Yes	1
mean focus on	be focussed on	businesses mean focus on firms	businesses be focussed on firms	Yes	1
accept	handle	the Customer accept that change	the Customer handle that change	Yes	1
trick	try to trick	Odysseus trick him	Odysseus try to trick him	Yes	1
be measured in	be expressed as	The amplitude be measured in decibels	The amplitude be expressed as decibels	Yes	1
appear along	be visible at	the genes appear along each chromosome	the genes be visible at each chromosome	Yes	1
enter into	be bound by	the country enter into an oil crisis	the country be bound by an oil crisis	Yes	1
be worried about	be concerned for	parents be worried about their sons or daughters	parents be concerned for their sons or daughters	Yes	1
be assured of	be treated to	visitors be assured of breathtaking scenery	visitors be treated to breathtaking scenery	Yes	1
share a sense of	get a feeling of	The villagers share a sense of pride	The villagers get a feeling of pride	Yes	1
be comparable to	be comparable to@R@	Gothic 3 be comparable to Oblivion	Oblivion be comparable to Gothic 3	Yes	1
be impossible for	become difficult for	The problem be impossible for writers	The problem become difficult for writers	Yes	1
defend	guard	Iran defend itself	Iran guard itself	Yes	1
like to purchase	wish to buy	Consumers like to purchase a pair	Consumers wish to buy a pair	Yes	1
have a great influence on	have a great impact on	Parents have a great influence on the career development of their children	Parents have a great impact on the career development of their children	Yes	1
get into	enter into	David Beckham get into trouble	David Beckham enter into trouble	Yes	1
be to raise	be to enhance	The annual event be to raise funds	The annual event be to enhance funds	Yes	1
travel to	head for	the German physicist Werner Heisenberg travel to Copenhagen	the German physicist Werner Heisenberg head for Copenhagen	Yes	1
match	go with	your skills match the job description	your skills go with the job description	Yes	1
irk	irritate	the move irk shareholders	the move irritate shareholders	Yes	1
be found in	exist in	Similar laws be found in Massachusetts	Similar laws exist in Massachusetts	Yes	1
have concern for	have a genuine concern for	the hypnotherapist have concern for the client	the hypnotherapist have a genuine concern for the client	Yes	1
disagree with	differ with	A federal appeals court disagree with this decision	A federal appeals court differ with this decision	Yes	1
do more on	make significant progress on	Japan do more on security	Japan make significant progress on security	Yes	1
fall in	seem to fall in	Siegfried fall in love	Siegfried seem to fall in love	Yes	1
contain information from	be sourced from	This article contain information from the CIA World Factbook 2000	This article be sourced from the CIA World Factbook 2000	Yes	1
be intended for	be suitable for	The course be intended for healthcare professionals	The course be suitable for healthcare professionals	Yes	1
recognize the need of	understand the unique need of	the Governor recognize the need of Upstate	the Governor understand the unique need of Upstate	Yes	1
vary across	vary throughout	urban and rural areas vary across countries	urban and rural areas vary throughout countries	Yes	1
memorize	learn	children memorize songs	children learn songs	Yes	1
have a change in	see change in	Idaho have a change in law	Idaho see change in law	Yes	1
be the queen of	be queen of	Omphale be the queen of Lydia	Omphale be queen of Lydia	Yes	1
be most valuable to	be meaningful to	skills be most valuable to any employer	skills be meaningful to any employer	Yes	1
go to look for	begin search for	Pat go to look for an apartment	Pat begin search for an apartment	Yes	1
keep get into	get into	Some of us keep get into trouble	Some of us get into trouble	Yes	1
be aware of	know of	the Support Center be aware of the problem	the Support Center know of the problem	Yes	1
fall in	begin to fall in	Jett Travolta fall in the bathroom	Jett Travolta begin to fall in the bathroom	Yes	1
be necessary for	be needed for	a blog be necessary for their business	a blog be needed for their business	Yes	1
rely on	depend on	Ukraine rely on support	Ukraine depend on support	Yes	1
need to figure out	need to work out	Customers need to figure out their options	Customers need to work out their options	Yes	1
be held to	hold to	everyone 's academic work and behavior be held to the highest standards of honesty	everyone 's academic work and behavior hold to the highest standards of honesty	Yes	1
learn	get help on	Students learn contract administration	Students get help on contract administration	Yes	1
stand for	refer to	I/O stand for input/output	I/O refer to input/output	Yes	1
charge	start charge	Most cards charge a fee	Most cards start charge a fee	Yes	1
have full knowledge of	be aware of	Allah have full knowledge of all things	Allah be aware of all things	Yes	1
speak to	talk to	Nas speak to MTV News	Nas talk to MTV News	Yes	1
stumble upon	head over to	glad i stumble upon this site	glad i head over to this site	Yes	1
favor	push for	an economic policy favor the rich	an economic policy push for the rich	Yes	1
be based on	be focused on	Selection be based on academic records	Selection be focused on academic records	Yes	1
start read	begin read	my husband start read your book	my husband begin read your book	Yes	1
remain until	wait until	Samuel remain until his death	Samuel wait until his death	Yes	1
originate from	hail from	These pictures originate from different sources	These pictures hail from different sources	Yes	1
apologize to	apologise to	Michael apologize to him	Michael apologise to him	Yes	1
accept all kind of	accept all type of	ShareIt accept all kind of payment methods	ShareIt accept all type of payment methods	Yes	1
be shipped on	be dispatched	Packages be shipped on Monday	Packages be dispatched Monday	Yes	1
be the cause of	play a role in	the islands be the cause of many shipwrecks	the islands play a role in many shipwrecks	Yes	1
radiate	beam with	Storytellers radiate respect	Storytellers beam with respect	Yes	1
be interested in develop	wish to develop	Students be interested in develop significant computer skills	Students wish to develop significant computer skills	Yes	1
stand for	be the abbreviation of	PHP stand for Personal Home Page	PHP be the abbreviation of Personal Home Page	Yes	1
be dedicated to	be committed to	this thread be dedicated to the Fabrics	this thread be committed to the Fabrics	Yes	1
be seen in	be evident in	the impact be seen in long term	the impact be evident in long term	Yes	1
sign with	record for	Ray J sign with Elektra	Ray J record for Elektra	Yes	1
stretch between	run between	the membrane stretch between the fingers	the membrane run between the fingers	Yes	1
get on	start to get on	New Orleans get on the board	New Orleans start to get on the board	Yes	1
come from	be obtained from	The Messiah come from the tribe of Judah	The Messiah be obtained from the tribe of Judah	Yes	1
default on	renege on	the borrower default on payments	the borrower renege on payments	Yes	1
avoid	abstain from	Tyler avoid feel	Tyler abstain from feel	Yes	1
be put on	be placed in	These dates be put on the web site	These dates be placed in the web site	Yes	1
die from	die by	Women die from childbirth	Women die by childbirth	Yes	1
participate in	be included in	other interested parties participate in the hearing	other interested parties be included in the hearing	Yes	1
be the creator of	be the maker of	The artist be the creator of beautiful things	The artist be the maker of beautiful things	Yes	1
influence	have an effect on	the judge influence the outcome	the judge have an effect on the outcome	Yes	1
be delivered to	be passed to	The report be delivered to the secretary	The report be passed to the secretary	Yes	1
win	end up win	Ron Paul win the presidency	Ron Paul end up win the presidency	Yes	1
learn much about	have a greater understanding of	historians learn much about this period	historians have a greater understanding of this period	Yes	1
become accustomed to	get use to	the animals become accustomed to the sounds	the animals get use to the sounds	Yes	1
feature lot of	have lot of	the City feature lot of blogs	the City have lot of blogs	Yes	1
talk much about	have much to say about	a guy talk much about hope	a guy have much to say about hope	Yes	1
contain	supply	This page contain links	This page supply links	Yes	1
work ok for	do work for	the program work ok for a while	the program do work for a while	Yes	1
be regarded as	be considered as	Chennai be regarded as the Gateway	Chennai be considered as the Gateway	Yes	1
show up on	be visible on	the charge show up on my credit card	the charge be visible on my credit card	Yes	1
be essential in	be needed for	your personal information be essential in the network	your personal information be needed for the network	Yes	1
beat	battle	the Raiders beat the Texans	the Raiders battle the Texans	Yes	1
acquire one of	pick up one of	Disney acquire one of its competitors	Disney pick up one of its competitors	Yes	1
count	check	my father count the days	my father check the days	Yes	1
take advantage of	benefit from	Guests take advantage of the room and laundry services	Guests benefit from the room and laundry services	Yes	1
study	hear of	The Department of Health study the report	The Department of Health hear of the report	Yes	1
be a source of	provide a source of	Italy be a source of creativity	Italy provide a source of creativity	Yes	1
depend on	depend a lot on	Salary levels depend on qualifications and experience	Salary levels depend a lot on qualifications and experience	Yes	1
pay attention to	notice	the public pay attention to the warning	the public notice the warning	Yes	1
learn about	develop an understanding of	students learn about Urban Ministry	students develop an understanding of Urban Ministry	Yes	1
influence	play a role in	gender influence identity	gender play a role in identity	Yes	1
shoot all over	be slick with@R@	Cum shoot all over his chest	his chest be slick with Cum	Yes	1
hope for	love to see	Egypt hope for a long-term truce	Egypt love to see a long-term truce	Yes	1
be designed to assist	be developed to assist	These programs be designed to assist students	These programs be developed to assist students	Yes	1
exist on	be saved on	a letter exist on the machine	a letter be saved on the machine	Yes	1
happen through	be accomplished through	experience happen through trial and error	experience be accomplished through trial and error	Yes	1
have thousand of	have load of	Some men have thousand of reasons	Some men have load of reasons	Yes	1
travel	journey	friends travel thousands of miles	friends journey thousands of miles	Yes	1
begin on	start from	The warranties begin on the date	The warranties start from the date	Yes	1
lose the war on	fight against	America lose the war on terror	America fight against terror	Yes	1
graduate	be graduated from	Only 6 % of all Americans graduate high school	Only 6 % of all Americans be graduated from high school	Yes	1
find a copy of	see a copy of	the workers find a copy of the law	the workers see a copy of the law	Yes	1
be the creator of	be the creation of@R@	The artist be the creator of beautiful things	beautiful things be the creation of The artist	Yes	1
choose to contact	try to contact	customers choose to contact your organisation	customers try to contact your organisation	Yes	1
join	enter	others join their ranks	others enter their ranks	Yes	1
walk down	start walk down	A drunk guy walk down the street	A drunk guy start walk down the street	Yes	1
want to be	be interested in become	A friend of mine want to be a musician	A friend of mine be interested in become a musician	Yes	1
descend on	storm	10,500 athletes descend on Beijing	10,500 athletes storm Beijing	Yes	1
be similar for	be similar in	the user interface be similar for the programs	the user interface be similar in the programs	Yes	1
speak of	tell of	men speak of God	men tell of God	Yes	1
come along for	settle in for	his wife come along for the ride	his wife settle in for the ride	Yes	1
reduce the chance of	reduce the potential for	any delay reduce the chance of survival	any delay reduce the potential for survival	Yes	1
surrender	abandon	McCain surrender his maverick status	McCain abandon his maverick status	Yes	1
be set up for	be ok for	The dining room tables be set up for six people	The dining room tables be ok for six people	Yes	1
be to raise money for	help raise fund for	The idea be to raise money for charity	The idea help raise fund for charity	Yes	1
be packaged for	be packed for	Your order be packaged for your privacy and protection	Your order be packed for your privacy and protection	Yes	1
emphasize	be focused on	The course emphasize study skills	The course be focused on study skills	Yes	1
seem clear to	be clear for	the truth seem clear to ourselves	the truth be clear for ourselves	Yes	1
describe	cover	This list describe all possible interactions	This list cover all possible interactions	Yes	1
play a role in	be involved in	stress play a role in depression	stress be involved in depression	Yes	1
hit theater on	be set to be released in	the movie hit theater on June 29	the movie be set to be released in June 29	Yes	1
voice	begin to express	Iraqis voice their opinions	Iraqis begin to express their opinions	Yes	1
congratulate	commend	McCain congratulate the victor	McCain commend the victor	Yes	1
hold about	fit up to	the black 8-gigabyte iPhone 3G model hold about 2,000 songs	the black 8-gigabyte iPhone 3G model fit up to 2,000 songs	Yes	1
reduce	minimize	The administration reduce training	The administration minimize training	Yes	1
care for	provide for	a generation care for their community	a generation provide for their community	Yes	1
look over at	look at	Lisa look over at Brad	Lisa look at Brad	Yes	1
be valid through	continue until	This offer be valid through November 1 , 2008	This offer continue until November 1 , 2008	Yes	1
love to make	like make	Children love to make these cookies	Children like make these cookies	Yes	1
be bad for	impact	cat foods be bad for your cat	cat foods impact your cat	Yes	1
occur in	occur within	Cloning occur in nature	Cloning occur within nature	Yes	1
want to go out to	be ready to head to	Alice want to go out to supper	Alice be ready to head to supper	Yes	1
be required for	be important for	insurance be required for all leased equipment	insurance be important for all leased equipment	Yes	1
look to expand	look to extend	The band look to expand its ranks	The band look to extend its ranks	Yes	1
be the essence of	be the root of	sales be the essence of business	sales be the root of business	Yes	1
charge	ask for	Most cards charge a fee	Most cards ask for a fee	Yes	1
be a marker for	be sign of	inflammation be a marker for many chronic diseases	inflammation be sign of many chronic diseases	Yes	1
be lowered by	fall	the temperature be lowered by one more degree	the temperature fall one more degree	Yes	1
begin to talk to	be allowed to speak to	Chris begin to talk to Gordie	Chris be allowed to speak to Gordie	Yes	1
take bus to	be driven to	the team take bus to New Jersey	the team be driven to New Jersey	Yes	1
be raised	be brought up	Elizabeth be raised a Protestant	Elizabeth be brought up a Protestant	Yes	1
be vital for	be critical for	Water be vital for survival	Water be critical for survival	Yes	1
submit via	be delivered by	Information submit via forms	Information be delivered by forms	Yes	1
have a love for	enjoy	My father have a love for education	My father enjoy education	Yes	1
attend	be admitted to	Anne attend Smith College	Anne be admitted to Smith College	Yes	1
make tremendous progress in	gain in	Malaysia make tremendous progress in this regard	Malaysia gain in this regard	Yes	1
be fearful of	be frightened by	Her two children be fearful of their father	Her two children be frightened by their father	Yes	1
stare at	look at	The girl stare at him	The girl look at him	Yes	1
read through	have a look at	Don read through our guide	Don have a look at our guide	Yes	1
be allowed in	be welcome in	television be allowed in the courtroom	television be welcome in the courtroom	Yes	1
register for	subscribe to	members register for each contest	members subscribe to each contest	Yes	1
have a stockpile of	possess	Hezbollah have a stockpile of 40,000 rockets	Hezbollah possess 40,000 rockets	Yes	1
move about	travel	visitors move about the site	visitors travel the site	Yes	1
get a bit of	have a bit of	those workers get a bit of training	those workers have a bit of training	Yes	1
blame for	be linked to@R@	harmful greenhouse gas emissions blame for global warming	global warming be linked to harmful greenhouse gas emissions	Yes	1
enjoy listen to	love hear	others enjoy listen to the sounds	others love hear the sounds	Yes	1
blaze with	sparkle with	the eyes blaze with excitement	the eyes sparkle with excitement	Yes	1
have support for	support the use of	The device have support for SMS	The device support the use of SMS	Yes	1
be divided into	divide into	The thesis be divided into three parts	The thesis divide into three parts	Yes	1
need to build	start to build	Students need to build their credit history	Students start to build their credit history	Yes	1
hope for	await	Egypt hope for a long-term truce	Egypt await a long-term truce	Yes	1
be elected to	be a member of	Rome be elected to the position	Rome be a member of the position	Yes	1
go on	head out on	their family go on holiday	their family head out on holiday	Yes	1
help safeguard	protect	Others help safeguard the environment	Others protect the environment	Yes	1
be the site for	be the place to be for	The annual conference be the site for the Annual General Meeting	The annual conference be the place to be for the Annual General Meeting	Yes	1
cover	be covered by@R@	her hair cover her face	her face be covered by her hair	Yes	1
have a role to play in	contribute to	patient care have a role to play in safety	patient care contribute to safety	Yes	1
like to share	be excited to share	the couples like to share their holidays	the couples be excited to share their holidays	Yes	1
experience	go through	men experience prostate problems	men go through prostate problems	Yes	1
be another one of	be one more of	last night be another one of those nights	last night be one more of those nights	Yes	1
be used for	be around for	detox diet be used for weight loss	detox diet be around for weight loss	Yes	1
hurt	be bad for	the gravel hurt my feet	the gravel be bad for my feet	Yes	1
be determined	be considered	The interest rate be determined every three months	The interest rate be considered every three months	Yes	1
regulate	help control	The EPA regulate tap water	The EPA help control tap water	Yes	1
be called	be an example of	the loans be called same day loans	the loans be an example of same day loans	Yes	1
have a liking for	have a taste of	Young people have a liking for sports cars	Young people have a taste of sports cars	Yes	1
spend the day in	stay in	The men spend the day in fellowship	The men stay in fellowship	Yes	1
want to become	wanna be	Claude Monet want to become an artist	Claude Monet wanna be an artist	Yes	1
be equivalent to	be equivalent to@R@	A 2.0 be equivalent to a C average	a C average be equivalent to A 2.0	Yes	1
have a crush on	get a crush on	Mai have a crush on Andy	Mai get a crush on Andy	Yes	1
want to update	tweak	clients want to update their wardrobe	clients tweak their wardrobe	Yes	1
depend on	be based on	Our rates depend on factors	Our rates be based on factors	Yes	1
make off with	manage to steal	The thieves make off with TVs	The thieves manage to steal TVs	Yes	1
have many benefit for	be important for	the partnership have many benefit for both companies	the partnership be important for both companies	Yes	1
take at	be in at	payment take at least 10 days	payment be in at least 10 days	Yes	1
go on	go off on	their family go on holiday	their family go off on holiday	Yes	1
have the feeling of	have a touch of	youll have the feeling of satisfaction	youll have a touch of satisfaction	Yes	1
be essential in	play an important role in	your personal information be essential in the network	your personal information play an important role in the network	Yes	1
be a market leader in	be expert in	NVIDIA be a market leader in graphics	NVIDIA be expert in graphics	Yes	1
be known as	be called as	success be known as luck	success be called as luck	Yes	1
accommodate up to	hold to	The trunk accommodate up to 16 cubic feet of cargo	The trunk hold to 16 cubic feet of cargo	Yes	1
set out to destroy	attempt to destroy	Royalton set out to destroy Speed	Royalton attempt to destroy Speed	Yes	1
want to be	dream of become	A friend of mine want to be a musician	A friend of mine dream of become a musician	Yes	1
appear as	show up as	these statements appear as an argument	these statements show up as an argument	Yes	1
decide to support	be a supporter of	voters decide to support the Democratic Party	voters be a supporter of the Democratic Party	Yes	1
be hijacked by	try to take over@R@	The republic be hijacked by Forces	Forces try to take over The republic	Yes	1
be free for	be included for	The service be free for all visitors	The service be included for all visitors	Yes	1
be the kind of	be a form of	Trolling be the kind of fishing	Trolling be a form of fishing	Yes	1
take care of	provide for	his mama and papa take care of him	his mama and papa provide for him	Yes	1
supply	serve	users supply information or material	users serve information or material	Yes	1
get out of	step out of	things get out of control	things step out of control	Yes	1
be broken into	be comprised of	The sentences be broken into phrases	The sentences be comprised of phrases	Yes	1
be safe with	be dedicated to protect@R@	your life be safe with God	God be dedicated to protect your life	Yes	1
begin perform	perform some of	The band begin perform their own music	The band perform some of their own music	Yes	1
sing	know the word to	Kevin sing this song	Kevin know the word to this song	Yes	1
be attracted to	attract@R@	Many people be attracted to Florida	Florida attract Many people	Yes	1
be beneficial for	have a beneficial effect on	Payday loans be beneficial for salaried individuals	Payday loans have a beneficial effect on salaried individuals	Yes	1
be satisfying to	be acceptable to	artistic , sensitive , or spiritually inclined people be satisfying to him	artistic , sensitive , or spiritually inclined people be acceptable to him	Yes	1
be a normal part of	be a natural result of	Recessions be a normal part of economic cycles	Recessions be a natural result of economic cycles	Yes	1
be performed	be conducted	An autopsy be performed Thursday	An autopsy be conducted Thursday	Yes	1
worry about	think about	Researchers worry about a cancer risk	Researchers think about a cancer risk	Yes	1
vary from	differ by	Cancellation policies vary from hotel	Cancellation policies differ by hotel	Yes	1
turn off	try disable	Your parent turn off comments	Your parent try disable comments	Yes	1
adhere to	live up to	the patient adhere to a healthy diet	the patient live up to a healthy diet	Yes	1
accept	permit	this site accept input	this site permit input	Yes	1
be emailed to	send to	your information be emailed to the email address	your information send to the email address	Yes	1
be excited for	be thrilled for	This team be excited for a while	This team be thrilled for a while	Yes	1
be sold on	be sold through	Tickets be sold on a first-come , first-served basis	Tickets be sold through a first-come , first-served basis	Yes	1
be accepted through	be completed by	Proposals be accepted through October 31st	Proposals be completed by October 31st	Yes	1
share	seem to share	The experts share their experiences	The experts seem to share their experiences	Yes	1
get into	enter	the race get into the final stretch	the race enter the final stretch	Yes	1
be ready to face	be better prepared for	Caleb Holt be ready to face his toughest job	Caleb Holt be better prepared for his toughest job	Yes	1
hear about	know about	Max hear about the girl	Max know about the girl	Yes	1
take bus to	take the bus to	the team take bus to New Jersey	the team take the bus to New Jersey	Yes	1
be the polar opposite of	be the opposite of@R@	Torture be the polar opposite of freedom	freedom be the opposite of Torture	Yes	1
mention	say about	The article mention the king	The article say about the king	Yes	1
want to thank	wish to thank	The couple want to thank their families and friends	The couple wish to thank their families and friends	Yes	1
stare in	gaze in	the husband stare in disbelief	the husband gaze in disbelief	Yes	1
smell like	have the smell of	VALTREX smell like a fish	VALTREX have the smell of a fish	Yes	1
be taken	be shot	This picture be taken last night	This picture be shot last night	Yes	1
be knowledgeable about	have knowledge of	employees be knowledgeable about the products	employees have knowledge of the products	Yes	1
start in	be established in	This process start in the 19th century	This process be established in the 19th century	Yes	1
go up to	head over to	Gloria go up to Canada	Gloria head over to Canada	Yes	1
happen through	happen via	experience happen through trial and error	experience happen via trial and error	Yes	1
be presented in	be given in	Tour be presented in North America	Tour be given in North America	Yes	1
be drawn from	be obtained from	Blood be drawn from your arm	Blood be obtained from your arm	Yes	1
be situated at	be placed at	a handle be situated at the bottom	a handle be placed at the bottom	Yes	1
be based on	be calculated based on	Our service be based on information	Our service be calculated based on information	Yes	1
come into	do come into	The Freedom of Information Act come into operation	The Freedom of Information Act do come into operation	Yes	1
enter	enter in	Immigrants enter our country	Immigrants enter in our country	Yes	1
be grateful for	like to thank everyone for	the artist be grateful for the opportunity	the artist like to thank everyone for the opportunity	Yes	1
list the name of	mention the name of	a table of contents list the name of each page	a table of contents mention the name of each page	Yes	1
play on	happen on	Christmas music play on the stereo	Christmas music happen on the stereo	Yes	1
dismiss	be brought before@R@	the Trial Court dismiss his cause of action	his cause of action be brought before the Trial Court	Yes	1
get a bit of	receive a bit of	those workers get a bit of training	those workers receive a bit of training	Yes	1
close on	remain open until	Pre-registration close on Thursday	Pre-registration remain open until Thursday	Yes	1
be the parent of	be mother to	his wife be the parent of two children	his wife be mother to two children	Yes	1
return from	get ready for	men return from fishing	men get ready for fishing	Yes	1
be encouraged to submit	be encouraged to send	Fans be encouraged to submit photos of themselves	Fans be encouraged to send photos of themselves	Yes	1
do a lot of	do a world of	Crichton do a lot of research	Crichton do a world of research	Yes	1
seek	apply for	others seek medical care	others apply for medical care	Yes	1
discuss	explore	The scientists discuss their work	The scientists explore their work	Yes	1
be by	be made by	Shipping be by USPS Parcel Post	Shipping be made by USPS Parcel Post	Yes	1
love to play in	want to play in	Dogs love to play in the snow	Dogs want to play in the snow	Yes	1
be controlled by	be led by	The United States be controlled by money	The United States be led by money	Yes	1
end up lose	manage to lose	The Vikings end up lose this game	The Vikings manage to lose this game	Yes	1
want to hire	want to employ	A CEO want to hire the best	A CEO want to employ the best	Yes	1
be home to	make their home in@R@	San Angelo be home to Angelo State University	Angelo State University make their home in San Angelo	Yes	1
eavesdrop on	snoop on	Kevin eavesdrop on Mary	Kevin snoop on Mary	Yes	1
be the best part of	be a great part of	the results be the best part of the job	the results be a great part of the job	Yes	1
be transport	help carry	the railways be transport materials	the railways help carry materials	Yes	1
partner with	negotiate with	Ford partner with Microsoft	Ford negotiate with Microsoft	Yes	1
have plenty of	have a great deal of	consumers have plenty of choices	consumers have a great deal of choices	Yes	1
have a crush on	have feeling for	Mai have a crush on Andy	Mai have feeling for Andy	yes	1
take place after	follow after	The program take place after lunch	The program follow after lunch	Yes	1
arrive at	head to	Mariner 4 arrive at Mars	Mariner 4 head to Mars	Yes	1
be developed to help	be designed to aid	a program be developed to help municipal officials	a program be designed to aid municipal officials	Yes	1
be referred to as	be regarded as	Seattle be referred to as the rainy city	Seattle be regarded as the rainy city	Yes	1
be served at	be enjoyed at	alcohol be served at this hotel	alcohol be enjoyed at this hotel	Yes	1
be the parent of	be a mom to	his wife be the parent of two children	his wife be a mom to two children	Yes	1
come into	come to	Jesus come into Cana of Galilee	Jesus come to Cana of Galilee	Yes	1
consider	evaluate	Canada consider this change	Canada evaluate this change	Yes	1
come with	come equipped with	this one come with a disclaimer	this one come equipped with a disclaimer	Yes	1
witness	attest to	A police officer witness the incident	A police officer attest to the incident	Yes	1
mention	name	The article mention the king	The article name the king	Yes	1
indicate your acceptance of	be bound by	Your placement of an order indicate your acceptance of these terms and conditions	Your placement of an order be bound by these terms and conditions	Yes	1
be happy about	feel good about	Not everyone be happy about this change	Not everyone feel good about this change	Yes	1
prove to be	be said to be	the programme prove to be a great success	the programme be said to be a great success	Yes	1
be attracted to	be interested in	Many people be attracted to Florida	Many people be interested in Florida	Yes	1
arrange	make arrangement for	My parents arrange a marriage	My parents make arrangement for a marriage	Yes	1
be held accountable for	be held responsible for	humans be held accountable for their actions	humans be held responsible for their actions	Yes	1
consult	talk with	Many people consult professionals	Many people talk with professionals	Yes	1
contain the title of	include the title of	The first page contain the title of the paper	The first page include the title of the paper	Yes	1
be the capital of	be the capitol of	Hanoi be the capital of Vietnam	Hanoi be the capitol of Vietnam	Yes	1
elaborate on	expand upon	The International Committee of the Red Cross elaborate on the Geneva Conventions	The International Committee of the Red Cross expand upon the Geneva Conventions	Yes	1
happen through	come through	experience happen through trial and error	experience come through trial and error	Yes	1
mean make	be make	web hosting mean make web sites	web hosting be make web sites	Yes	1
