rule_lhs	rule_rhs	lhs	rhs	judgment	confidence
be considered for	be offered	experience be considered for the job	experience be offered the job	No	1
be light in	be brown in	a room be light in color	a room be brown in color	No	1
spend a year in	be an american living in	my family spend a year in Europe	my family be an american living in Europe	No	1
be unique in	win the nobel prize in	The organization be unique in the industry	The organization win the nobel prize in the industry	No	1
get money out of	have more in	Home equity loans get money out of your house	Home equity loans have more in your house	No	1
be been for	be blocked for	nobody be been for a second bottle	nobody be blocked for a second bottle	No	1
want to see	want to help	All judges want to see him	All judges want to help him	No	1
hope in	find out in	The Association hope in the future	The Association find out in the future	No	1
affect the level of	cause an increase in	A disability affect the level of income	A disability cause an increase in income	No	1
show sign of	die of	these children show sign of anxiety	these children die of anxiety	No	1
cut	paint	The surgeons cut my leg	The surgeons paint my leg	No	1
disclose	safeguard	Companies disclose pay	Companies safeguard pay	No	1
be concerned about	complain about	members be concerned about security	members complain about security	No	1
sit in	be left in	the participants sit in a circle	the participants be left in a circle	No	1
be short on	have load of	Asia be short on resources	Asia have load of resources	No	1
learn	earn	Participants learn the basic techniques	Participants earn the basic techniques	No	1
be required by	be obliged by	oxygen be required by your body	oxygen be obliged by your body	No	1
thank	let	Charisse thank him	Charisse let him	No	1
be new to	stick with	student be new to computers	student stick with computers	No	1
pay better than	grow faster than	big companies pay better than small ones	big companies grow faster than small ones	No	1
transform	ruin	Daley transform Chicago	Daley ruin Chicago	No	1
do this on	do anything on	the consumer do this on their own	the consumer do anything on their own	No	1
speak to	remind	John speak to the governors	John remind the governors	No	1
make the most of	schedule	students make the most of their university experience	students schedule their university experience	No	1
lead	beat	My sister lead my dad	My sister beat my dad	No	1
have a field day with	be an attempt by@R@	Critics have a field day with this one	this one be an attempt by Critics	No	1
be no fan of	be the founding editor of	Hamilton be no fan of the suggestion	Hamilton be the founding editor of the suggestion	No	1
be $ 40 for	be $ 25 for	Program fees be $ 40 for members	Program fees be $ 25 for members	No	1
change in	be better in	a lot change in this country	a lot be better in this country	No	1
be lowered by	be raised by	the temperature be lowered by one more degree	the temperature be raised by one more degree	No	1
resemble	be larger than	the rash resemble a bull 's eye	the rash be larger than a bull 's eye	No	1
drive	hurt	the readers drive the industry	the readers hurt the industry	No	1
appreciate	try	Customers appreciate the suggestion	Customers try the suggestion	No	1
do in	die in	the player do in his career	the player die in his career	No	1
seek comment on	hold a public hearing on	The Commission seek comment on the issues	The Commission hold a public hearing on the issues	No	1
head	be the ceo of	New York head the list	New York be the ceo of the list	No	1
optimize	communicate	This software optimize your hard disk	This software communicate your hard disk	No	1
learn	improve	Students learn contract administration	Students improve contract administration	No	1
drive for	sign for	the current administrations drive for war	the current administrations sign for war	No	1
cry out for	count on	an area cry out for changes	an area count on changes	No	1
lift	flip	Rezo lift his head	Rezo flip his head	No	1
be propagated to	be read from	the changes be propagated to the primary database	the changes be read from the primary database	No	1
create an account on	purchase item from	Anybody create an account on eBay	Anybody purchase item from eBay	No	1
step in for	play behind@R@	Michelle Obama step in for her husband	her husband play behind Michelle Obama	No	1
produce	give rise to	Men produce testosterone	Men give rise to testosterone	No	1
reflect	employ	Websites reflect their owners	Websites employ their owners	No	1
lack	possess	The slaves lack their freedom	The slaves possess their freedom	No	1
host	plan	The club host the event	The club plan the event	No	1
be penalized in	be enhanced in	your site be penalized in Google	your site be enhanced in Google	No	1
be all for	be supportive of	my fears be all for naught	my fears be supportive of naught	No	1
affect	be more common in	decisions affect their lives	decisions be more common in their lives	No	1
brush	squeeze	His lips brush her shoulder	His lips squeeze her shoulder	No	1
fail in	win in	the proposal fail in the end	the proposal win in the end	No	1
stay from	forget about	a character stay from stereotypes	a character forget about stereotypes	No	1
belong to	be made above	the house belong to God	the house be made above God	No	1
deceive	deceive@R@	The historian deceive the reader	the reader deceive The historian	No	1
be possible in	be impossible in	This kind of thing be possible in the past	This kind of thing be impossible in the past	No	1
post in	notice in	Rob Caron post in his blog	Rob Caron notice in his blog	No	1
win	be expected to win	their cards win the pot	their cards be expected to win the pot	No	1
lie to	read to	Jacob lie to his blind father	Jacob read to his blind father	No	1
redo	have this in	the county redo its ordinances	the county have this in its ordinances	No	1
be logged into	be logged out of	The data be logged into a computer	The data be logged out of a computer	No	1
cheat on	have feeling for	My best friend cheat on his girlfriend	My best friend have feeling for his girlfriend	No	1
die for	come for	Christ die for my sins	Christ come for my sins	No	1
study at	join the faculty of	McKellar study at UCLA	McKellar join the faculty of UCLA	No	1
be related to	be different from	Hopelessness be related to depression	Hopelessness be different from depression	No	1
be born in	move to	Thomas Gainsborough be born in Sudbury	Thomas Gainsborough move to Sudbury	No	1
concern	link	This information concern the owners	This information link the owners	No	1
be been dead for	hold this position for	a guy be been dead for 2,000 years	a guy hold this position for 2,000 years	No	1
shoot	make a name for	The first two shoot him	The first two make a name for him	No	1
lie on	roll over onto	your partner lie on her back	your partner roll over onto her back	No	1
make prediction about	wish to focus on	Users make prediction about the future	Users wish to focus on the future	No	1
approach the end of	embark on	a number of students approach the end of their studies	a number of students embark on their studies	No	1
enjoy read about	blog about	Ive enjoy read about your trip	Ive blog about your trip	No	1
be lit at	be impressive at	lanterns be lit at night	lanterns be impressive at night	No	1
take a road trip to	practice in	the crew take a road trip to Bristol	the crew practice in Bristol	No	1
transport	track	Hong Kong Disneyland transport guests	Hong Kong Disneyland track guests	No	1
be arrested	be wounded	Gandhi be arrested many times	Gandhi be wounded many times	No	1
starve to	be worked to	a child starve to death	a child be worked to death	No	1
spend a lot of	donate	others spend a lot of money	others donate money	No	1
travel to	be based in	Paul travel to Paris	Paul be based in Paris	No	1
prepare	advertise	Participants prepare food	Participants advertise food	No	1
notice	do like	Individuals notice hoarseness	Individuals do like hoarseness	No	1
kick	lift	Donna kick Julie	Donna lift Julie	No	1
have no name for	send photo of	the local Indians have no name for the mountain	the local Indians send photo of the mountain	No	1
be enabled by	be disabled in	DHCP be enabled by default	DHCP be disabled in default	No	1
be ready to get to	get back to	the team be ready to get to the Championship game	the team get back to the Championship game	No	1
cry out for	deserve	an area cry out for changes	an area deserve changes	No	1
live up to	go beyond	the waters live up to their reputation	the waters go beyond their reputation	No	1
refute	agree with	Many scholars refute this argument	Many scholars agree with this argument	No	1
endorse	run against@R@	The New Yorker endorse Barack Obama	Barack Obama run against The New Yorker	No	1
spend time with	have dinner with	the children spend time with Jim	the children have dinner with Jim	No	1
be vulnerable to	be less susceptible to	the country be vulnerable to sea level rise	the country be less susceptible to sea level rise	No	1
commence in	be resumed in	the project commence in June	the project be resumed in June	No	1
be notified of	be mailed to@R@	The administration be notified of this problem	this problem be mailed to The administration	No	1
harangue	see the reaction of	the girl harangue her father	the girl see the reaction of her father	No	1
burn	standardize	The Israelis burn their homes	The Israelis standardize their homes	No	1
take some of	choke on	Bush take some of that money	Bush choke on that money	No	1
be found outside of	be found inside	salvation be found outside of the church	salvation be found inside the church	No	1
like to play	grow up play	Billy like to play golf	Billy grow up play golf	No	1
stay at	have lunch at	the families stay at The Ronald McDonald House	the families have lunch at The Ronald McDonald House	No	1
partner with	be a division of	Ford partner with Microsoft	Ford be a division of Microsoft	No	1
permit	translate	The Supreme Court permit the defendant	The Supreme Court translate the defendant	No	1
be available for	be downloaded for	Scholarships be available for tuition	Scholarships be downloaded for tuition	No	1
choose one of	guide@R@	The visitor choose one of the doors	the doors guide The visitor	No	1
be a senior at	be a freshman at	Chris be a senior at Boston College	Chris be a freshman at Boston College	No	1
try to move	feel pain in	A part of me try to move my feet	A part of me feel pain in my feet	No	1
publish	launch	The New York Times publish the Pentagon Papers	The New York Times launch the Pentagon Papers	No	1
need to do to prepare for	know the result of	students need to do to prepare for the competition	students know the result of the competition	No	1
have several version of	implement this in	Offices have several version of Word	Offices implement this in Word	No	1
eat dinner with	move with	Kelly eat dinner with her family	Kelly move with her family	No	1
describe	propose	This list describe all possible interactions	This list propose all possible interactions	No	1
answer	be ready to answer	Students answer questions	Students be ready to answer questions	No	1
remain in	die in	The children 's mother remain in jail	The children 's mother die in jail	No	1
be located off	be visible from	This property be located off the A4	This property be visible from the A4	No	1
research	search	Scientists research the Hoodia plant	Scientists search the Hoodia plant	No	1
be ready for	be slated for	the treatment be ready for use	the treatment be slated for use	No	1
need a change in	see change in	This country need a change in direction	This country see change in direction	No	1
swap	email	Two husbands swap their wives	Two husbands email their wives	No	1
face the threat of	be saved from	London face the threat of the IRA.	London be saved from the IRA.	No	1
be likely to be	remain	The background music be likely to be jazz	The background music remain jazz	No	1
drive from	drive to	Hastings drive from Napier	Hastings drive to Napier	No	1
head for	move from	Hurricane Rita head for Texas	Hurricane Rita move from Texas	No	1
agree to join	be a valued member of	the Maharaja agree to join India	the Maharaja be a valued member of India	No	1
oblige to	irritate to	Joe oblige to him	Joe irritate to him	No	1
be a huge fan of	tour with	my brother be a huge fan of Batman	my brother tour with Batman	No	1
say to	warn	David say to his mother	David warn his mother	No	1
be attracted to	feed on	insects be attracted to a body	insects feed on a body	No	1
enlist on	graduate on	Both men enlist on board	Both men graduate on board	No	1
have mixed feeling about	be shocked by	Local residents have mixed feeling about such developments	Local residents be shocked by such developments	No	1
refuse to	choose to	members of Congress refuse to seat	members of Congress choose to seat	No	1
defend	criticize	Iran defend itself	Iran criticize itself	No	1
be ignorant to	take solace in	men be ignorant to such subtleties	men take solace in such subtleties	No	1
have no access to	be in@R@	Africa have no access to electricity	electricity be in Africa	No	1
originate from	be named after	These pictures originate from different sources	These pictures be named after different sources	No	1
hate	vote for	That man hate his country	That man vote for his country	No	1
put money in	put your money in	The guys put money in a pot	The guys put your money in a pot	No	1
respond to	deny	The seller respond to the amount of money	The seller deny the amount of money	No	1
grant	be liable to@R@	The monarch grant a dissolution	a dissolution be liable to The monarch	No	1
be the light of	be the center of	Passion be the light of truth	Passion be the center of truth	No	1
allow for	be useful for	The RFP allow for bidders	The RFP be useful for bidders	No	1
sit down by	stride to	Gabrielle sit down by the fire pit	Gabrielle stride to the fire pit	No	1
hope to show	command the attention of	the authors hope to show social scientists	the authors command the attention of social scientists	No	1
marry	propose to	Noe Schitt marry Ted Sherlock	Noe Schitt propose to Ted Sherlock	No	1
become aware of	address	our clients become aware of the connection	our clients address the connection	No	1
be grateful to	request	the editor be grateful to the DVD	the editor request the DVD	No	1
obey	keep	Joseph obey the angel	Joseph keep the angel	No	1
fight with	sleep with	Sasuke fight with Kakashi	Sasuke sleep with Kakashi	No	1
worry about	need to worry about	Ladies worry about your hair	Ladies need to worry about your hair	No	1
apply for	be required to apply for	Students apply for more than one award	Students be required to apply for more than one award	No	1
chat to	bump into	the birds chat to one another	the birds bump into one another	No	1
be delivered to	be directed to	The report be delivered to the secretary	The report be directed to the secretary	No	1
be an avid user of	give a presentation on	Sherlock Holmes be an avid user of opium	Sherlock Holmes give a presentation on opium	No	1
need to do a lot of	do this type of	Preachers need to do a lot of work	Preachers do this type of work	No	1
advise	detect	The Parish Council advise residents	The Parish Council detect residents	No	1
be persecuted in	be refugee from	Christians be persecuted in this country	Christians be refugee from this country	No	1
have the time for	have the money for	him have the time for him	him have the money for him	No	1
be the capital of	be the heart of	Hanoi be the capital of Vietnam	Hanoi be the heart of Vietnam	No	1
go through	soar through	The trail go through Pothana	The trail soar through Pothana	No	1
seek	assume	His company seek approval	His company assume approval	No	1
contain link to	be a collection of	Web Site contain link to other Web Sites	Web Site be a collection of other Web Sites	No	1
affect	damage	your choices affect the outcome	your choices damage the outcome	No	1
be last modified on	be valid from	This page be last modified on 17 February 2008	This page be valid from 17 February 2008	No	1
spend a year in	return from	my family spend a year in Europe	my family return from Europe	No	1
be fired in	be arrested in	journalists be fired in the morning	journalists be arrested in the morning	No	1
drop	pick up	The pilot drop the marker	The pilot pick up the marker	No	1
lay my hand on	see the shape of	him lay my hand on his back	him see the shape of his back	No	1
disclose	collect	Companies disclose pay	Companies collect pay	No	1
be jealous of	be inspired by	angels be jealous of men	angels be inspired by men	No	1
cross over	turn left onto	Israeli forces cross over the border	Israeli forces turn left onto the border	No	1
consider	develop	Canada consider this change	Canada develop this change	No	1
revolve around	be used above	a system revolve around expectations	a system be used above expectations	No	1
smile	mumble	his wife smile more	his wife mumble more	No	1
be moved to	be kept in	the deadline be moved to November 15	the deadline be kept in November 15	No	1
walk into	step out of	This guy walk into a casino	This guy step out of a casino	No	1
rely on	build on	Judges rely on the information	Judges build on the information	No	1
be glad in	trust in	our heart be glad in Him	our heart trust in Him	No	1
be perfect on	be bad on	My score be perfect on this one	My score be bad on this one	No	1
be more important than	be more important than@R@	optimization be more important than design	design be more important than optimization	No	1
sit down by	stand up from	Gabrielle sit down by the fire pit	Gabrielle stand up from the fire pit	No	1
set an example for	earn the respect of	Teachers set an example for their students	Teachers earn the respect of their students	No	1
bark in	sneeze in	your dog bark in the first place	your dog sneeze in the first place	No	1
defend	finish	The Navy defend its presence	The Navy finish its presence	No	1
reiterate	rescind	Amnesty International reiterate its call	Amnesty International rescind its call	No	1
step in for	be succeeded by	Michelle Obama step in for her husband	Michelle Obama be succeeded by her husband	No	1
enjoy listen to	remember listen to	The class enjoy listen to a story	The class remember listen to a story	No	1
deny	admit	The government deny these charges	The government admit these charges	No	1
do nothing at	be nothing at	Peter do nothing at the moment	Peter be nothing at the moment	No	1
be connected to	be maintained above	servers be connected to the web.	servers be maintained above the web.	No	1
have no name for	find the name of	the local Indians have no name for the mountain	the local Indians find the name of the mountain	No	1
prefer	switch to	elephants prefer peanuts	elephants switch to peanuts	No	1
exit	be trapped in	The water exit the body	The water be trapped in the body	No	1
be impossible for	be uncommon for	The problem be impossible for writers	The problem be uncommon for writers	No	1
flaunt	outsize	The film flaunt great performances	The film outsize great performances	No	1
transport	take good care of	Hong Kong Disneyland transport guests	Hong Kong Disneyland take good care of guests	No	1
be puzzled by	be intrigued by	Autistic children be puzzled by faces	Autistic children be intrigued by faces	No	1
turn to	examine	Bill turn to him	Bill examine him	No	1
forget	hide	Ill forget him	Ill hide him	No	1
prefer	hate	Shrubs prefer full sun	Shrubs hate full sun	No	1
learn	be fluent in	Our audiences learn English	Our audiences be fluent in English	No	1
be eligible to participate in	be expected to participate in	my child be eligible to participate in the program	my child be expected to participate in the program	No	1
be possible in	be required in	This kind of thing be possible in the past	This kind of thing be required in the past	No	1
make for	demand	The result make for interesting reading	The result demand interesting reading	No	1
die of	survive	Misha die of cancer	Misha survive cancer	No	1
want to marry	start date	Chris want to marry May	Chris start date May	No	1
recycle	safeguard	residents recycle clothing	residents safeguard clothing	No	1
work on improve	need to work on	Physical therapists work on improve joint motion	Physical therapists need to work on joint motion	No	1
try to make	love to make	Drew Barrymore try to make love	Drew Barrymore love to make love	No	1
contain the title of	contain a list of	The first page contain the title of the paper	The first page contain a list of the paper	No	1
be encouraged to submit	be required to submit	Fans be encouraged to submit photos of themselves	Fans be required to submit photos of themselves	No	1
be surprised at	be pleased with	Scientists be surprised at the finding	Scientists be pleased with the finding	No	1
shoot	throw	Jenna shoot Frank	Jenna throw Frank	No	1
sit like	move like	This girl sit like a champ	This girl move like a champ	No	1
refer for	facilitate for	Refugees refer for resettlement	Refugees facilitate for resettlement	No	1
be removed from	be placed into	the caffeine be removed from the coffee	the caffeine be placed into the coffee	No	1
need to figure out	be sure about	Customers need to figure out their options	Customers be sure about their options	No	1
disagree with	appeal	most of the World disagree with the US	most of the World appeal the US	No	1
come across	land on	this guy come across the front of the stage	this guy land on the front of the stage	No	1
remain	be said for@R@	width remain the same	the same be said for width	No	1
own	sell	this guy own the domain	this guy sell the domain	No	1
produce	stop produce	These technologies produce contaminants	These technologies stop produce contaminants	No	1
enable	be available to	Our products and services enable organizations	Our products and services be available to organizations	No	1
store	manipulate	The cookies store personal information	The cookies manipulate personal information	No	1
remain open to	be reopened to	campus remain open to the entire community	campus be reopened to the entire community	No	1
have a problem with	be ok with	Muslims have a problem with Christianity	Muslims be ok with Christianity	No	1
be sure of	be curious about	no one be sure of his innocence	no one be curious about his innocence	No	1
be given at	be found at	rings be given at the wedding ceremony	rings be found at the wedding ceremony	No	1
want to add to	add these to	students want to add to current skills	students add these to current skills	No	1
post	try to get	Job seekers post their resumes	Job seekers try to get their resumes	No	1
look around	rush into	Seth look around him	Seth rush into him	No	1
travel	hike	friends travel thousands of miles	friends hike thousands of miles	No	1
leave for	move from	Vallejo leave for Paris	Vallejo move from Paris	No	1
leave for	move to	him leave for singapore	him move to singapore	No	1
take bus to	be east of	the team take bus to New Jersey	the team be east of New Jersey	No	1
deal with	rely on	parents deal with preschoolers	parents rely on preschoolers	No	1
help rescue	experiment on	the social worker help rescue him	the social worker experiment on him	No	1
get anything in	want one in	no one get anything in this country	no one want one in this country	No	1
configure	activate	Users configure the software	Users activate the software	No	1
cook	defrost	The lady cook breakfast and lunch	The lady defrost breakfast and lunch	No	1
give to	raise money for	Moses give to the people of Israel	Moses raise money for the people of Israel	No	1
commence in	be scheduled to be completed in	the project commence in June	the project be scheduled to be completed in June	No	1
move into	invade	Bantu-speaking people move into the area	Bantu-speaking people invade the area	No	1
need to use	purchase	Most users need to use this feature	Most users purchase this feature	No	1
bow	lift	the father bow his head	the father lift his head	No	1
speak the language of	understand the power of	Flowers speak the language of love	Flowers understand the power of love	No	1
be seen in	be reflected in	The full list of emoticons be seen in the posting form	The full list of emoticons be reflected in the posting form	No	1
take a look at	update	my clients take a look at this site	my clients update this site	No	1
favor	state	an economic policy favor the rich	an economic policy state the rich	No	1
pray to	have mercy on@R@	these people pray to our God	our God have mercy on these people	No	1
irk	jump out at	the move irk shareholders	the move jump out at shareholders	No	1
campaign for	want to vote for	Civilians campaign for office	Civilians want to vote for office	No	1
influence	be used above	gender influence identity	gender be used above identity	No	1
harangue	be wronged by	the girl harangue her father	the girl be wronged by her father	No	1
go wrong with	stay with	things go wrong with XP	things stay with XP	No	1
be required by	be a violation of	Javascript be required by this system	Javascript be a violation of this system	No	1
be helpful for	be necessary for	prenatal vitamins be helpful for women	prenatal vitamins be necessary for women	No	1
be removed from	be included in	the caffeine be removed from the coffee	the caffeine be included in the coffee	No	1
go into	emerge from	the chemicals go into paint	the chemicals emerge from paint	No	1
pay for	be required to pay for	advertisers pay for results	advertisers be required to pay for results	No	1
apologize to	confront	Michael apologize to him	Michael confront him	No	1
be employed at	be pronounced dead at	students be employed at the United Nations	students be pronounced dead at the United Nations	No	1
get on	start on	many people get on the right track	many people start on the right track	No	1
want as	describe	their kids want as costumes	their kids describe costumes	No	1
supply	sell	users supply information or material	users sell information or material	No	1
be susceptible to	be less susceptible to	women be susceptible to breast cancer	women be less susceptible to breast cancer	No	1
be clear from	relate to	every thing be clear from the beginning	every thing relate to the beginning	No	1
be a little small for	have capacity for	the rooms be a little small for 4 people	the rooms have capacity for 4 people	No	1
download	stick with	The program download one file	The program stick with one file	No	1
dont like	happen to like	u dont like my blOg	u happen to like my blOg	No	1
drop out of	graduate	A lot of people drop out of school	A lot of people graduate school	No	1
click on	double click on	Some users click on the links	Some users double click on the links	No	1
beat	break	Sox beat the Yankees	Sox break the Yankees	No	1
settle down in	look throughout	the pigs settle down in the straw	the pigs look throughout the straw	No	1
appear along	cut off at	the genes appear along each chromosome	the genes cut off at each chromosome	No	1
be hired for	be selected based on	The hotel be hired for exclusive use	The hotel be selected based on exclusive use	No	1
be fair to	be clear to	an agreement be fair to all parties	an agreement be clear to all parties	No	1
charge a premium for	consider pay for	printers charge a premium for engraving	printers consider pay for engraving	No	1
serve as	resign as	Children serve as apprentices	Children resign as apprentices	No	1
be chained to	hang from	Angel be chained to the bed	Angel hang from the bed	No	1
be a consultant to	be director of	Dan be a consultant to cities	Dan be director of cities	No	1
pinch	grab	Jesse pinch my right hand	Jesse grab my right hand	No	1
ignore	detect	Most people ignore this commandment	Most people detect this commandment	No	1
result in	result from	globalization result in cultural uniformity	globalization result from cultural uniformity	No	1
tend to neglect	tend to focus on	Robert tend to neglect his family	Robert tend to focus on his family	No	1
cut	fix	the government cut funding	the government fix funding	No	1
do a lot of	have no problem with	an engineer do a lot of work	an engineer have no problem with work	No	1
be a big one for	be a deal-breaker for	this week be a big one for the financial sector	this week be a deal-breaker for the financial sector	No	1
sail to	set out from	Captain Cook sail to Australia	Captain Cook set out from Australia	No	1
hear about	recommend	Every Christian hear about spiritual warfare	Every Christian recommend spiritual warfare	No	1
display	block	The site display many photos	The site block many photos	No	1
be more common for	be normal for	This side effect be more common for women	This side effect be normal for women	No	1
major in	have a bachelor degree in	students major in elementary education	students have a bachelor degree in elementary education	No	1
consist of	be defined as	The first part consist of problems	The first part be defined as problems	No	1
have several problem with	make little sense to@R@	Consumer have several problem with transmission	transmission make little sense to Consumer	No	1
be fond of	be good with	search engines be fond of articles	search engines be good with articles	No	1
integrate	optimize	Google integrate websites	Google optimize websites	No	1
sign with	switch to	Ray J sign with Elektra	Ray J switch to Elektra	No	1
be penalized in	be tested in	your site be penalized in Google	your site be tested in Google	No	1
be sure of	have no idea of	Democrats be sure of the answer	Democrats have no idea of the answer	No	1
have a crush on	co-starred with	Mai have a crush on Andy	Mai co-starred with Andy	No	1
drive	drag	Kenseth drive the car	Kenseth drag the car	No	1
spend about	wait for about	Visitors spend about two hours	Visitors wait for about two hours	No	1
be unacceptable to	be acceptable to	That prospect be unacceptable to him	That prospect be acceptable to him	No	1
know about	thank	No one know about Joseph	No one thank Joseph	No	1
do much care for	be no fan of	Natalie do much care for him	Natalie be no fan of him	No	1
explain	assure	Vincent explain his case	Vincent assure his case	No	1
be the site for	be the best place for	The annual conference be the site for the Annual General Meeting	The annual conference be the best place for the Annual General Meeting	No	1
be short on	offer plenty of	Asia be short on resources	Asia offer plenty of resources	No	1
harm	be beneficial to	smoking harm your health	smoking be beneficial to your health	No	1
have one set of	have two pair of	females have one set of chromosomes	females have two pair of chromosomes	No	1
hold talk with	shake hand with@R@	Blair hold talk with Mubarak	Mubarak shake hand with Blair	No	1
be designed in	be funded in	systems be designed in this manner	systems be funded in this manner	No	1
be sufficient for	be critical for	A high school diploma be sufficient for most jobs	A high school diploma be critical for most jobs	No	1
be weary of	be swayed by	a United States be weary of war	a United States be swayed by war	No	1
need to do	be ready to do	the tools need to do your job	the tools be ready to do your job	No	1
yield to	fall prey to	The reed yield to the wind	The reed fall prey to the wind	No	1
defeat	kill	Johnny Saxton defeat Kid Gavilan	Johnny Saxton kill Kid Gavilan	No	1
announce to	greet	the General Secretary announce to the President	the General Secretary greet the President	No	1
empower	be easier for	a profession empower individuals	a profession be easier for individuals	No	1
cheat on	be survived by	My best friend cheat on his girlfriend	My best friend be survived by his girlfriend	No	1
pass on	quit	him pass on that evening	him quit that evening	No	1
be the size of	be bigger than	the limiting factor be the size of the media	the limiting factor be bigger than the media	No	1
look into	see into	TM look into the future	TM see into the future	No	1
accomplish this in	learn a lot in	Most people accomplish this in a few minutes	Most people learn a lot in a few minutes	No	1
dont talk about	be clueless about	Women dont talk about these things	Women be clueless about these things	No	1
wear	be required to wear	cows wear bells	cows be required to wear bells	No	1
embark on	return from	others embark on studies	others return from studies	No	1
be an avid user of	advocate the use of	Sherlock Holmes be an avid user of opium	Sherlock Holmes advocate the use of opium	No	1
seem odd to	make much sense to	practices seem odd to Americans	practices make much sense to Americans	No	1
have one set of	need a set of	Mexico have one set of rules	Mexico need a set of rules	No	1
need to be honest with	share their knowledge with	Husbands and wives need to be honest with each other	Husbands and wives share their knowledge with each other	No	1
be fired in	be wed in	journalists be fired in the morning	journalists be wed in the morning	No	1
cook on	do this on	guests cook on their own	guests do this on their own	No	1
be good for	be better for	the horse be good for the owner	the horse be better for the owner	No	1
be the essence of	be the secret of	sales be the essence of business	sales be the secret of business	No	1
look like on	be displayed on	games look like on the PS3	games be displayed on the PS3	No	1
speak	want to learn	some staff speak English	some staff want to learn English	No	1
affect	afflict	decisions affect their lives	decisions afflict their lives	No	1
increase over	decrease over	The number of visitors increase over the years	The number of visitors decrease over the years	No	1
be the complexity of	be the documentation of	such be the complexity of human nature	such be the documentation of human nature	No	1
be interested in make	make a lot of	keyboard player be interested in make music	keyboard player make a lot of music	No	1
be ready to proceed to	need to repeat	the class be ready to proceed to new topics	the class need to repeat new topics	No	1
warn	wish	the chief warn him	the chief wish him	No	1
let out	answer with	Leah let out a sigh	Leah answer with a sigh	No	1
refer	relax	the Committee refer such action	the Committee relax such action	No	1
drive	pull up in	Kenseth drive the car	Kenseth pull up in the car	No	1
be sure of	be worried about	the doctors be sure of the cause	the doctors be worried about the cause	No	1
threaten	be bad for	husbands threaten their wives	husbands be bad for their wives	No	1
long to see	have a deep love for	Yang long to see Lau	Yang have a deep love for Lau	No	1
work since	work until	Anne work since January	Anne work until January	No	1
enter service in	be until	The system enter service in December 2000	The system be until December 2000	No	1
draw	sheathe	the policemen draw their guns	the policemen sheathe their guns	No	1
leave with	speak with	Linda leave with Chris	Linda speak with Chris	No	1
draw with	lose 1-0 to@R@	France draw with South Korea	South Korea lose 1-0 to France	No	1
be worried about	plan for	parents be worried about their sons or daughters	parents plan for their sons or daughters	No	1
be tired for	be crushed for	my legs be tired for some reason	my legs be crushed for some reason	No	1
be the victory of	be the gospel of	The result be the victory of fascism	The result be the gospel of fascism	No	1
be unable to pay	pay off	a debtor be unable to pay his creditors	a debtor pay off his creditors	No	1
lay my hand on	scratch	him lay my hand on his back	him scratch his back	No	1
study at	transfer to	McKellar study at UCLA	McKellar transfer to UCLA	No	1
take a look at	have fun with	my clients take a look at this site	my clients have fun with this site	No	1
be unable to pay	have enough money to pay	a debtor be unable to pay his creditors	a debtor have enough money to pay his creditors	No	1
bother	belong	the feelings of apprehension bother him	the feelings of apprehension belong him	No	1
be new to	remember	students be new to computer science	students remember computer science	No	1
edit	publish	This program edit your inventory	This program publish your inventory	No	1
erase all of	copy all of	Most libraries erase all of this information	Most libraries copy all of this information	No	1
get done with	be exhausted from	Lynn get done with him	Lynn be exhausted from him	No	1
edit	need to edit	This program edit your inventory	This program need to edit your inventory	No	1
be more common for	be unusual for	This side effect be more common for women	This side effect be unusual for women	No	1
be enrolled for	wish to enroll in	A student be enrolled for less than six credits	A student wish to enroll in less than six credits	No	1
feel the same way as	get a call from	Ada feel the same way as Inman	Ada get a call from Inman	No	1
go up to	move to	Gloria go up to Canada	Gloria move to Canada	No	1
agree with	object to	the general public agree with the decision	the general public object to the decision	No	1
show this in	show a couple of	My report show this in detail	My report show a couple of detail	No	1
be something with	take a while for	the search engines be something with many variables	the search engines take a while for many variables	No	1
feel the same way as	be lucky to know	Ada feel the same way as Inman	Ada be lucky to know Inman	No	1
dont need	need to buy	Your members dont need any PHP-support	Your members need to buy any PHP-support	No	1
work based on	work based on@R@	The laser work based on pulses	pulses work based on The laser	No	1
favor	be against	an economic policy favor the rich	an economic policy be against the rich	No	1
harm	be safe for	smoking harm your health	smoking be safe for your health	No	1
draw with	score against	France draw with South Korea	France score against South Korea	No	1
thank	be indebted to	Beth thank brian	Beth be indebted to brian	No	1
show up	work	Jack show up one day	Jack work one day	No	1
need for	be needed for	Applicants need for financial assistance	Applicants be needed for financial assistance	No	1
eat dinner with	enjoy travel with	Kelly eat dinner with her family	Kelly enjoy travel with her family	No	1
hate	ignore	others hate Wal-Mart	others ignore Wal-Mart	No	1
contain the title of	give an outline of	The first page contain the title of the paper	The first page give an outline of the paper	No	1
order	transfer	Your doctor order lab tests	Your doctor transfer lab tests	No	1
start to	have a chance to	The ceiling start to cave	The ceiling have a chance to cave	No	1
contemplate	allude to	the nation contemplate the politics	the nation allude to the politics	No	1
learn in	teach in	Jim learn in his childhood	Jim teach in his childhood	No	1
punch	whip@R@	Josiah punch him	him whip Josiah	No	1
explain	implement	the latter explain the situation	the latter implement the situation	No	1
notice	forget	one of the other workers notice him	one of the other workers forget him	No	1
design	paint	the King design the pagoda	the King paint the pagoda	No	1
defeat	run into	Richard defeat Marcus	Richard run into Marcus	No	1
